Method,Dimension,Silhouette,Davies_Bouldin
Doc2Vec,20,0.1247657684802906,2.693192691293084
Doc2Vec,100,0.0726997472763756,3.576939750308425
Doc2Vec,300,0.008470621412801948,3.949530957319195
